Area_Code,State,Country,Time_Zone
201,NJ,UNITED STATES,E
202,DC,UNITED STATES,E
203,CT,UNITED STATES,E
204,Manitoba,CANADA,C
205,AL,UNITED STATES,C
206,WA,UNITED STATES,P
207,ME,UNITED STATES,E
208,ID,UNITED STATES,MP
209,CA,UNITED STATES,P
210,TX,UNITED STATES,C
212,NY,UNITED STATES,E
213,CA,UNITED STATES,P
214,TX,UNITED STATES,C
215,PA,UNITED STATES,E
216,OH,UNITED STATES,E
217,IL,UNITED STATES,C
218,MN,UNITED STATES,C
219,IN,UNITED STATES,EC
224,IL,UNITED STATES,C
225,LA,UNITED STATES,C
226,Ontario,CANADA,E
228,MS,UNITED STATES,C
229,GA,UNITED STATES,E
231,MI,UNITED STATES,E
234,OH,UNITED STATES,E
239,FL,UNITED STATES,E
240,MD,UNITED STATES,E
242,Bahamas,BAHAMAS,E
246,Barbados,BARBADOS,A
248,MI,UNITED STATES,E
249,Ontario,CANADA,E
250,British Columbia,CANADA,P
251,AL,UNITED STATES,C
252,NC,UNITED STATES,E
253,WA,UNITED STATES,P
254,TX,UNITED STATES,C
256,AL,UNITED STATES,C
260,IN,UNITED STATES,E
262,WI,UNITED STATES,C
264,Anguilla,ANGUILLA,A
267,PA,UNITED STATES,E
268,Antigua/Barbuda,ANTIGUA/BARBUDA,A
269,MI,UNITED STATES,E
270,KY,UNITED STATES,EC
276,VA,UNITED STATES,E
281,TX,UNITED STATES,C
284,British Virgin Islands,BRITISH VIRGIN ISLANDS,A
289,Ontario,CANADA,E
301,MD,UNITED STATES,E
302,DE,UNITED STATES,E
303,CO,UNITED STATES,M
304,WV,UNITED STATES,E
305,FL,UNITED STATES,E
306,Saskatchewan,CANADA,C
307,WY,UNITED STATES,M
308,NE,UNITED STATES,CM
309,IL,UNITED STATES,C
310,CA,UNITED STATES,P
312,IL,UNITED STATES,C
313,MI,UNITED STATES,E
314,MO,UNITED STATES,C
315,NY,UNITED STATES,E
316,KS,UNITED STATES,C
317,IN,UNITED STATES,E
318,LA,UNITED STATES,C
319,IA,UNITED STATES,C
320,MN,UNITED STATES,C
321,FL,UNITED STATES,E
323,CA,UNITED STATES,P
325,TX,UNITED STATES,C
330,OH,UNITED STATES,E
331,IL,UNITED STATES,C
334,AL,UNITED STATES,C
336,NC,UNITED STATES,E
337,LA,UNITED STATES,C
339,MA,UNITED STATES,E
340,UNITED STATESVI,UNITED STATES,A
343,Ontario,CANADA,
345,Cayman Islands,CAYMAN ISLANDS,E
347,NY,UNITED STATES,E
351,MA,UNITED STATES,E
352,FL,UNITED STATES,E
360,WA,UNITED STATES,P
361,TX,UNITED STATES,C
385,UT,UNITED STATES,M
386,FL,UNITED STATES,E
401,RI,UNITED STATES,E
402,NE,UNITED STATES,C
403,Alberta,CANADA,M
404,GA,UNITED STATES,E
405,OK,UNITED STATES,C
406,MT,UNITED STATES,M
407,FL,UNITED STATES,E
408,CA,UNITED STATES,P
409,TX,UNITED STATES,C
410,MD,UNITED STATES,E
412,PA,UNITED STATES,E
413,MA,UNITED STATES,E
414,WI,UNITED STATES,C
415,CA,UNITED STATES,P
416,Ontario,CANADA,E
417,MO,UNITED STATES,C
418,Quebec,CANADA,E
419,OH,UNITED STATES,E
423,TN,UNITED STATES,EC
424,CA,UNITED STATES,P
425,WA,UNITED STATES,P
430,TX,UNITED STATES,C
432,TX,UNITED STATES,C
434,VA,UNITED STATES,E
435,UT,UNITED STATES,M
438,Quebec,CANADA,E
440,OH,UNITED STATES,E
441,Bermuda,BERMUDA,A
442,CA,UNITED STATES,P
443,MD,UNITED STATES,E
450,Quebec,CANADA,E
456,NANP area,,
458,OR,UNITED STATES,MP
469,TX,UNITED STATES,C
470,GA,UNITED STATES,E
473,Grenada,GRENADA,A
475,CT,UNITED STATES,E
478,GA,UNITED STATES,E
479,AR,UNITED STATES,C
480,AZ,UNITED STATES,M
484,PA,UNITED STATES,E
500,NANP area,,
501,AR,UNITED STATES,C
502,KY,UNITED STATES,E
503,OR,UNITED STATES,P
504,LA,UNITED STATES,C
505,NM,UNITED STATES,M
506,New Brunswick,CANADA,A
507,MN,UNITED STATES,C
508,MA,UNITED STATES,E
509,WA,UNITED STATES,P
510,CA,UNITED STATES,P
512,TX,UNITED STATES,C
513,OH,UNITED STATES,E
514,Quebec,CANADA,E
515,IA,UNITED STATES,C
516,NY,UNITED STATES,E
517,MI,UNITED STATES,E
518,NY,UNITED STATES,E
519,Ontario,CANADA,E
520,AZ,UNITED STATES,M
530,CA,UNITED STATES,P
533,NANP Area,,
534,WI,UNITED STATES,C
539,OK,UNITED STATES,C
540,VA,UNITED STATES,E
541,OR,UNITED STATES,MP
544,NANP Area,,
551,NJ,UNITED STATES,E
559,CA,UNITED STATES,P
561,FL,UNITED STATES,E
562,CA,UNITED STATES,P
563,IA,UNITED STATES,C
566,NANP Area,,
567,OH,UNITED STATES,E
570,PA,UNITED STATES,E
571,VA,UNITED STATES,E
573,MO,UNITED STATES,C
574,IN,UNITED STATES,EC
575,NM,UNITED STATES,M
579,Quebec,CANADA,E
580,OK,UNITED STATES,C
581,Quebec,CANADA,
585,NY,UNITED STATES,E
586,MI,UNITED STATES,E
587,Alberta,CANADA,M
600,Canada,CANADA,
601,MS,UNITED STATES,C
602,AZ,UNITED STATES,M
603,NH,UNITED STATES,E
604,British Columbia,CANADA,P
605,SD,UNITED STATES,CM
606,KY,UNITED STATES,EC
607,NY,UNITED STATES,E
608,WI,UNITED STATES,C
609,NJ,UNITED STATES,E
610,PA,UNITED STATES,E
612,MN,UNITED STATES,C
613,Ontario,CANADA,E
614,OH,UNITED STATES,E
615,TN,UNITED STATES,C
616,MI,UNITED STATES,E
617,MA,UNITED STATES,E
618,IL,UNITED STATES,C
619,CA,UNITED STATES,P
620,KS,UNITED STATES,CM
623,AZ,UNITED STATES,M
626,CA,UNITED STATES,P
630,IL,UNITED STATES,C
631,NY,UNITED STATES,E
636,MO,UNITED STATES,C
641,IA,UNITED STATES,C
646,NY,UNITED STATES,E
647,Ontario,CANADA,E
649,Turks & Caicos Islands,TURKS & CAICOS ISLANDS,E
650,CA,UNITED STATES,P
651,MN,UNITED STATES,C
657,CA,UNITED STATES,P
660,MO,UNITED STATES,C
661,CA,UNITED STATES,P
662,MS,UNITED STATES,C
664,Montserrat,MONTSERRAT,A
667,MD,UNITED STATES,E
670,CNMI,UNITED STATES,(UTC+10)
671,GU,UNITED STATES,(UTC+10)
678,GA,UNITED STATES,E
681,WV,UNITED STATES,E
682,TX,UNITED STATES,C
684,AS,UNITED STATES,
700,NANP area,,
701,ND,UNITED STATES,CM
702,NV,UNITED STATES,P
703,VA,UNITED STATES,E
704,NC,UNITED STATES,E
705,Ontario,CANADA,E
706,GA,UNITED STATES,E
707,CA,UNITED STATES,P
708,IL,UNITED STATES,C
709,Newfoundland,CANADA,NA
710,UNITED STATES,UNITED STATES,
712,IA,UNITED STATES,C
713,TX,UNITED STATES,C
714,CA,UNITED STATES,P
715,WI,UNITED STATES,C
716,NY,UNITED STATES,E
717,PA,UNITED STATES,E
718,NY,UNITED STATES,E
719,CO,UNITED STATES,M
720,CO,UNITED STATES,M
721,Sint Maarten,SINT MAARTEN,A
724,PA,UNITED STATES,E
727,FL,UNITED STATES,E
731,TN,UNITED STATES,C
732,NJ,UNITED STATES,E
734,MI,UNITED STATES,E
740,OH,UNITED STATES,E
747,CA,UNITED STATES,P
754,FL,UNITED STATES,E
757,VA,UNITED STATES,E
758,St. Lucia,ST. LUCIA,A
760,CA,UNITED STATES,P
762,GA,UNITED STATES,E
763,MN,UNITED STATES,C
765,IN,UNITED STATES,E
767,Dominica,DOMINICA,A
769,MS,UNITED STATES,C
770,GA,UNITED STATES,E
772,FL,UNITED STATES,E
773,IL,UNITED STATES,C
774,MA,UNITED STATES,E
775,NV,UNITED STATES,P
778,British Columbia,CANADA,P
779,IL,UNITED STATES,C
780,Alberta,CANADA,M
781,MA,UNITED STATES,E
784,St. Vincent & Grenadines,ST. VINCENT & GRENADINES,A
785,KS,UNITED STATES,CM
786,FL,UNITED STATES,E
787,Puerto Rico,UNITED STATES,A
800,NANP area,,
801,UT,UNITED STATES,M
802,VT,UNITED STATES,E
803,SC,UNITED STATES,E
804,VA,UNITED STATES,E
805,CA,UNITED STATES,P
806,TX,UNITED STATES,C
807,Ontario,CANADA,EC
808,HI,UNITED STATES,(UTC-10)
809,Dominican Republic,Dominican Republic,E
810,MI,UNITED STATES,E
812,IN,UNITED STATES,EC
813,FL,UNITED STATES,E
814,PA,UNITED STATES,E
815,IL,UNITED STATES,C
816,MO,UNITED STATES,C
817,TX,UNITED STATES,C
818,CA,UNITED STATES,P
819,Quebec,CANADA,E
828,NC,UNITED STATES,E
829,Dominican Republic,Dominican Republic,E
830,TX,UNITED STATES,C
831,CA,UNITED STATES,P
832,TX,UNITED STATES,C
843,SC,UNITED STATES,E
845,NY,UNITED STATES,E
847,IL,UNITED STATES,C
848,NJ,UNITED STATES,E
849,Dominican Republic,Dominican Republic,E
850,FL,UNITED STATES,EC
855,NANP Area,,
856,NJ,UNITED STATES,E
857,MA,UNITED STATES,E
858,CA,UNITED STATES,P
859,KY,UNITED STATES,E
860,CT,UNITED STATES,E
862,NJ,UNITED STATES,E
863,FL,UNITED STATES,E
864,SC,UNITED STATES,E
865,TN,UNITED STATES,E
866,NANP area,,
867,"Yukon, NW Terr., Nunavut",CANADA,CMP
868,Trinidad & Tobago,TRINIDAD AND TOBAGO,A
869,St. Kitts & Nevis,ST. KITTS AND NEVIS,A
870,AR,UNITED STATES,C
872,IL,UNITED STATES,C
876,Jamaica,JAMAICA,E
877,NANP area,,
878,PA,UNITED STATES,E
888,NANP area,,
900,NANP area,,
901,TN,UNITED STATES,C
902,"Nova Scotia, Prince Edward Island",CANADA,A
903,TX,UNITED STATES,C
904,FL,UNITED STATES,E
905,Ontario,CANADA,E
906,MI,UNITED STATES,EC
907,AK,UNITED STATES,(UTC-9)
908,NJ,UNITED STATES,E
909,CA,UNITED STATES,P
910,NC,UNITED STATES,E
912,GA,UNITED STATES,E
913,KS,UNITED STATES,C
914,NY,UNITED STATES,E
915,TX,UNITED STATES,CM
916,CA,UNITED STATES,P
917,NY,UNITED STATES,E
918,OK,UNITED STATES,C
919,NC,UNITED STATES,E
920,WI,UNITED STATES,C
925,CA,UNITED STATES,P
928,AZ,UNITED STATES,M
929,NY,UNITED STATES,E
931,TN,UNITED STATES,EC
936,TX,UNITED STATES,C
937,OH,UNITED STATES,E
938,AL,UNITED STATES,C
939,Puerto Rico,UNITED STATES,A
940,TX,UNITED STATES,C
941,FL,UNITED STATES,E
947,MI,UNITED STATES,E
949,CA,UNITED STATES,P
951,CA,UNITED STATES,P
952,MN,UNITED STATES,C
954,FL,UNITED STATES,E
956,TX,UNITED STATES,C
970,CO,UNITED STATES,M
971,OR,UNITED STATES,P
972,TX,UNITED STATES,C
973,NJ,UNITED STATES,E
978,MA,UNITED STATES,E
979,TX,UNITED STATES,C
980,NC,UNITED STATES,E
984,NC,UNITED STATES,E
985,LA,UNITED STATES,C
989,MI,UNITED STATES,E
